#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL,STD_DEV
127,Lynn Bowden Jr.,WR,FA,0,0.1,0,0.5,0.4,0,0,0,0,0,0,0,5.2,8.4,4.6,1.6,5,2.6,25.6,2.515653416
128,Marcus Johnson,WR,FA,0,0,0,2.7,5.3,10.8,0,3.9,1.4,0,1.4,0,0,0,0,0,0,2.3,25.5,2.796005554
129,Bryan Edwards,WR,FA,0.9,4.2,4.8,0,0,0,0,0,0,1.6,0.1,1.5,0,0,0,1.1,11.1,2.1,25.3,2.797873636
130,Zay Jones,WR,ARI,0,7.5,3.2,3.2,0.2,0,0,0,0,0.6,1.8,0.3,0,1.2,0.9,0,3.7,1.4,22.6,1.975665102
131,Mack Hollins,WR,BUF,0,0,0,0,0,0,0,0,7.1,0.1,0.9,1.9,0.7,6.6,1.8,4.2,1.7,1.4,21.6,2.24781324
132,Marquez Callaway,WR,FA,0,0,0,1.6,3.4,0,7.5,0,1.1,0,0,0,0,0,0,2.6,5.1,1.9,21.3,2.137375424
133,Bisi Johnson,WR,FA,5.6,2.4,0,0,1.3,0,0,0,0,0,0.9,9.4,0,0,0,1.3,0,1.3,20.9,2.473093967
134,Gunner Olszewski,WR,NYG,0,0,0,1.1,0,0,0,0.6,1.5,0,0,0.1,15.8,0,0,0,1.4,1.6,20.5,3.683903075
135,Kenny Stills,WR,FA,0,1.6,3.5,9.9,1.4,0,3.4,0,0,0.6,0,0,0,0,0,0,0,2,20.4,2.452129927
136,Isaiah Wright,WR,FA,0,0,3,2.9,0.3,2.6,0,0,1,5.9,0.7,0,0.5,0.9,1.5,0,0,1.4,19.3,1.571039812
137,John Hightower,WR,FA,0.2,0,1.9,2.2,3.8,5,5.9,0,0,0,0,0.1,0,0,0,0,0.1,1.4,18.8,1.895432499
138,Kalif Raymond,WR,DET,0,0,11.5,0,2.6,3.2,0,1.1,0,0,0,0,0,0,0,0,0,1.2,18.4,2.77111897
138,Equanimeous St. Brown,WR,NO,0,0,0,0,0,0,0,1.2,0,0,2.3,4.6,0.7,1.5,0,8.1,0,1.5,18.4,2.118888525
140,KhaDarel Hodge,WR,ATL,1.2,3.9,0,0,0,0,0,0,0,0,7.3,3.1,0,0,0,0,2.5,2,18,1.981401412
