#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,STD_DEV
132,Van Jefferson,WR,PIT,2.4,0.9,5,2.9,0,0,0.5,2.4,1.4,0,0,1.3,0,0,0,1.3,1.9,1.3,1.3,21.3,1.321299865
133,Derius Davis,WR,LAC,0.5,1,0.3,6.7,BYE,0,2.4,0.4,6,0.7,0.3,0.1,0,0,2.2,1.4,0.2,3.5,1.2,20.7,2.014325855
134,Quez Watkins,WR,PIT,1.7,0,0,0,0.4,BYE,0,0,0,0,0,0,2.8,0,0,0,0,15.3,2.5,20.2,3.60536893
135,Jamison Crowder,WR,WAS,0,0,0,0,2.1,0,0,15.5,2.3,0,1.2,0,0,BYE,0,2,0,0.8,1.2,19.9,3.617192702
136,Tyler Scott,WR,CHI,1.4,0,0.6,1.9,0,1.2,3.3,1.1,0.5,3.1,1.6,0,BYE,1.1,4.6,0,1.5,1.2,1.2,18.9,1.249968858
137,Robbie Chosen,WR,SF,0,0,12.8,0,0,0,0,0,BYE,0,3.9,0,0,0,0,1.9,0,0,2.1,18.6,3.089921108
138,Malik Heath,WR,GB,0,0,0,0,0,BYE,0,0,0,0,0.7,4.6,1.5,6.6,2.9,0,1.3,0.9,1.4,18.5,1.850876534
139,River Cracraft,WR,MIA,10,3.4,1.3,0,0,0,0,0,0,BYE,0,0,1.6,0,0,0,0,1.8,1.8,18.1,2.422672607
140,Deven Thompkins,WR,FA,1,1.1,0.6,11.6,0,0.3,0.6,0,0,1.1,1.7,0,1.1,0,0.1,0,0,0.1,1.1,17.9,2.605721388
141,Ray-Ray McCloud III,WR,ATL,0,0,0,2.2,0.1,2.7,2,4.3,0,0,0,2.3,0,0,0,0,0,2.9,1.4,16.5,1.358205515
142,John Metchie III,WR,HOU,0,1.7,1.3,2.2,2,0,BYE,0,1.4,2.5,1.2,0.6,0.9,0.6,0.1,0,1.2,0.5,1,16.2,0.799350948
143,Kyle Philips,WR,TEN,0,0,0,0,0,1.4,BYE,2.4,6.8,6.1,1,0.3,0,0,0,0,0,1.5,1.8,16.1,2.060016461
144,Donovan Peoples-Jones,WR,DET,1.2,0.7,4.9,0.7,0,0,2.2,0,BYE,0,0,0,0,1.7,0.5,1.1,0,2.5,1,15.5,1.277351282
145,David Moore,WR,CAR,0,0,0,0,0,0,BYE,0,0,0,0,0,0,1.1,12.8,0.7,0,0.8,2.2,15.4,2.992435677
146,Jalen Guyton,WR,LV,0,0,0,0,0,0,0,0,0,10.1,0,0.4,0.5,0.8,1.9,1.2,0,0,1.9,14.9,2.30670654
147,Trent Sherfield Sr.,WR,MIN,0,0,1.8,1.8,0.3,0,0.5,0,0.9,0,0,0,BYE,0.9,0,0,0,8.4,1,14.6,1.977240746
148,Tyquan Thornton,WR,NE,0,0,0,0,0,0.6,0.2,0,0.7,0,BYE,2.2,3.9,1.7,0.5,2,2.4,0,1.6,14.2,1.137045282
149,Byron Pringle,WR,WAS,0,0.4,0,1.5,1,0,1.6,0,5.5,0.7,0.2,2.7,0,BYE,0.5,0,0,0,0.9,14.1,1.384691389
150,Xavier Hutchinson,WR,HOU,0.9,0,0,0,0,1.5,BYE,0,1.2,1.7,0,3.4,0,1.5,0.5,1.8,0.8,0.6,0.9,13.9,0.917948668
