Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
17,Najee Harris*,Alabama,SEC,15,117,783,6.7,4,4,7,1.8,0,121,790,6.5,4,najee-harris-1
18,Darrynton Evans*,Appalachian State,Sun Belt,13,179,1187,6.6,7,12,87,7.3,1,191,1274,6.7,8,darrynton-evans-1
19,Maleek Irons*,Ohio,MAC,11,126,831,6.6,8,6,41,6.8,1,132,872,6.6,9,maleek-irons-1
20,Aca'Cedric Ware,USC,Pac-12,12,125,825,6.6,6,9,35,3.9,0,134,860,6.4,6,acacedric-ware-1
21,Taiwan Deal*,Wisconsin,Big Ten,12,82,545,6.6,6,2,10,5.0,0,84,555,6.6,6,taiwan-deal-1
22,Trayveon Williams*,Texas A&M,SEC,13,271,1760,6.5,18,27,278,10.3,1,298,2038,6.8,19,trayveon-williams-1
23,Nico Evans,Wyoming,MWC,10,203,1325,6.5,8,7,66,9.4,1,210,1391,6.6,9,nico-evans-1
24,Kerrith Whyte,Florida Atlantic,CUSA,12,134,866,6.5,8,10,160,16.0,2,144,1026,7.1,10,kerrith-whyte-1
25,D'Andre Swift*,Georgia,SEC,14,163,1049,6.4,10,32,297,9.3,3,195,1346,6.9,13,dandre-swift-1
26,Elijah Holyfield*,Georgia,SEC,14,159,1018,6.4,7,5,40,8.0,0,164,1058,6.5,7,elijah-holyfield-1
27,Nathan Rourke*,Ohio,MAC,13,134,860,6.4,15,0,0,,0,134,860,6.4,15,nathan-rourke-1
28,Martell Pettaway*,West Virginia,Big 12,12,98,623,6.4,6,6,61,10.2,1,104,684,6.6,7,martell-pettaway-1
29,Qadree Ollison*,Pitt,ACC,14,194,1213,6.3,11,11,66,6.0,0,205,1279,6.2,11,oadree-ollison-1
30,Malcolm Perry,Navy,American,13,172,1087,6.3,7,9,167,18.6,1,181,1254,6.9,8,malcolm-perry-1
31,Dexter Williams*,Notre Dame,Ind,9,158,995,6.3,12,16,133,8.3,1,174,1128,6.5,13,dexter-williams-1
